国家,年份,自变量,城镇人口（占总人口比例）,人均 GDP（2010年不变价美元）,外国直接投资额（以当前价格计算，百万美元）,第一产业占比,
布基纳法索,2012,108,25.767,615.0959708,329.301,31.48340396,
博茨瓦纳,2012,74502,64.768,6944.807637,146.494,2.695270104,
贝宁,2012,8766,44.125,1057.66774,281.565,25.76897583,
安哥拉,2012,755642,61.268,3748.449445,-1464.628,6.069630075,
埃塞俄比亚,2012,229168,18.16,389.9389667,278.563,44.33094275,
埃及,2012,96904,42.946,2634.850052,6031,11.27276527,
阿尔及利亚,2012,446553,68.915,4588.071133,1499.45,8.770566136,
中非,2011,12242,39.135,504.7460502,36.908,37.56902278,
乍得,2011,92371,22.054,862.9194279,281.9,51.19620013,
赞比亚,2011,74817,39.851,1525.562575,1108.5,9.647775853,
乌干达,2011,31578,19.898,659.6289584,894.294,25.06252981,
突尼斯,2011,9581,66.938,4022.237688,1147.907,8.534675511,
坦桑尼亚,2011,98119,28.798,777.2272184,1229.38,24.97686445,
索马里,2011,5,41,,102,,
苏丹,2011,273502,33.207,1597.977397,1734.377,24.35917039,
斯威士兰,2011,5,22.7,4233.575227,108.385,9.719884854,
圣多美和普林西比,2011,36,66.064,1117.136414,32.2,11.64593081,
塞舌尔,2011,2316,53.72,11967.36235,207.356,2.221376932,
塞内加尔,2011,35309,44.188,1262.221043,338.219,12.88347419,
塞拉利昂,2011,7998,39.248,417.6031684,950.478,54.59346587,
尼日利亚,2011,345969,44.366,2350.336824,8914.89,22.23471099,
尼日尔,2011,55891,16.216,341.764755,1065.79,38.31153694,
南非,2011,44594,62.746,7454.720165,4242.866,2.285472538,
纳米比亚,2011,11018,42.637,5497.566509,817.065,8.231879363,
莫桑比克,2011,22824,32.336,492.3430016,3558.544,25.75152927,
摩洛哥,2011,38135,58.581,2948.84549,2568.434,13.11998751,
毛里塔尼亚,2011,26474,47.493,1262.098121,588.75,17.09226338,
毛里求斯,2011,20557,41.444,8313.271254,433.359,3.703647697,
马里,2011,53685,36.799,710.6064193,556.147,34.55863058,
马拉维,2011,16651,15.672,487.7306819,93.274,28.77238042,
马达加斯加,2011,12256,32.58,466.3491788,788.078,29.05020576,
卢旺达,2011,12950,16.938,613.5444681,119.105,27.87512236,
利比亚,2011,80423,78.277,4539.002521,0,0,
利比里亚,2011,7852,48.193,538.116235,785.3,44.30050042,
莱索托,2011,2379,25.31,1274.269059,149.5,5.130735076,
肯尼亚,2011,139053,23.969,982.9808376,1450.474,26.30460466,
科特迪瓦,2011,2651,47.751,1131.444612,301.577,26.69084941,
科摩罗,2011,2410,28.04,1336.433611,23.088,30.56422084,
喀麦隆,2011,33738,52.164,1302.155553,355.4,13.47965227,
津巴布韦,2011,39891,33.015,1066.426265,387,8.665865173,
加蓬,2011,40591,86.092,9127.709968,874.873,3.43228978,
加纳,2011,86269,51.394,1445.360889,3237.39,23.66370497,
几内亚(比绍),2011,1666,40.508,587.140383,25.024,45.02245856,
几内亚,2011,13246,33.966,694.6031345,956.12,16.06974963,
吉布提,2011,3850,77.064,,79,,
刚果(金),2011,78418,40.544,345.2661149,1686.9,20.91707601,
